Operator,Station,Code,Cubic Name,NLC,Gated
Merseyrail,Liverpool Central,Mersey,TOC2242,2242,1
Merseyrail,Moorfields,Mersey,TOC2226,2226,1
Merseyrail,South Parkway,Mersey,TOC9709,9709,1
Merseyrail,Southport,Mersey,TOC2262,2262,1
Network Rail,"W LOO P12-P19, 1-67, S/WAY 70-99 &  WICC",Network Rail,TOC8909,5598,1
Network Rail,WATERLOO P1 TO P11 & PL 20 to PL 22,Network Rail,TOC5598,5598,1
Northern,Barrow in Furness,ARN,TOC1954,1954,1
Northern,Blackburn,ARN,TOC2737,2737,1
Northern,Bolton,ARN,TOC2599,2599,1
Northern,Bradford Forster Square,ARN,TOC8346,8346,1
Northern,Glossop,ARN,TOC2895,2895,1
Northern,Halifax,ARN,TOC8411,8411,1
Northern,Harrogate,ARN,TOC8213,8213,1
Northern,Hartlepool,ARN,TOC8009,8009,1
Northern,Liverpool Lime St,ARN,TOC2246,2246,1
Northern,Rochdale,ARN,TOC2924,2924,1
Northern,Salford Central,ARN,TOC2798,2798,1
Northern,Salford Crescent,ARN,TOC2794,2794,1
Northern,Skipton,ARN,TOC2728,2728,1
Northern,St Helens Central,ARN,TOC2341,2341,1
Northern,Warrington,ARN,TOC2390,2390,1
Northern,Wigan Wallgate,ARN,TOC2406,2406,1
Scotrail,Aberdeen,ASR,TOC8976,8976,1
Scotrail,Anderston,ASR,TOC9965,9965,1
Scotrail,Argyle Street,ASR,TOC9961,9961,1
Scotrail,Ayr,ASR,TOC9463,9463,1
Scotrail,Charing Cross,ASR,TOC9911,9911,1
Scotrail,Dundee,ASR,TOC9039,9039,1
Scotrail,Edinburgh Bathgate,ASR,TOC9311,9311,1
Scotrail,Edinburgh Gateway,ASR,TOC6545,6545,1
Scotrail,Edinburgh Park,ASR,TOC9365,9365,1
Scotrail,Edinburgh Waverley,ASR,TOC9328,9328,1
Scotrail,Glasgow Central (HL) Pl 11-15,ASR,TOC6696,9813,1
Scotrail,Glasgow Central (HL) Pl 3-6,ASR,TOC9813,9813,1
